AGE,HEIGHT_CM,WEIGHT_KG,SKILL_DRIBBLING,ATTACKING_CROSSING,ATTACKING_FINISHING,MOVEMENT_ACCELERATION,MOVEMENT_SPRINT_SPEED,POWER_SHOT_POWER,MENTALITY_AGGRESSION,DEFENDING_MARKING,DEFENDING_STANDING_TACKLE,GOALKEEPING_DIVING,GOALKEEPING_HANDLING,OVERALL,POTENTIAL
30,180,71,87,82,87,85,85,88,51,49,37,12,12,88,88
39,181,85,45,58,28,34,37,68,66,74,70,10,13,70,70
22,193,88,73,68,60,59,63,79,78,72,75,9,6,77,84
31,182,82,76,82,71,63,60,81,82,42,56,8,15,76,76
33,187,82,58,58,50,47,45,55,76,75,74,9,8,76,76
24,184,85,66,54,72,66,66,73,62,24,21,9,13,71,76
31,182,78,52,51,40,52,53,68,77,71,71,7,15,71,71
19,178,70,72,60,57,73,71,70,57,57,56,7,7,70,86
33,183,80,46,35,22,64,62,31,68,70,74,6,8,72,72
20,182,78,72,56,67,66,69,77,69,70,69,6,10,77,85
27,172,63,73,72,23,78,79,45,75,72,68,12,9,72,73
20,191,80,11,15,8,33,26,57,22,22,13,74,71,76,88
30,180,82,42,45,38,54,45,62,71,68,74,11,9,71,71
27,172,68,90,79,77,84,75,82,59,55,54,12,7,86,86
21,179,76,68,77,43,58,50,68,62,74,69,10,6,71,79
29,188,83,64,66,40,43,53,72,74,73,77,14,8,75,75
32,184,77,64,49,34,47,37,66,82,69,73,15,12,74,74
29,188,83,51,69,58,65,67,62,69,71,70,8,7,73,73
27,175,65,75,70,70,81,80,73,33,40,54,9,10,73,73
29,188,90,61,59,75,48,53,80,80,42,38,13,14,73,73
24,180,74,68,72,30,73,73,57,72,71,76,5,5,73,78
32,185,74,55,72,32,71,68,51,79,73,76,13,5,74,74
25,192,80,70,47,69,65,74,77,54,20,23,11,10,70,73
29,183,76,80,88,75,50,41,87,60,72,70,10,11,88,88
34,187,85,42,33,36,34,44,60,75,70,74,13,12,72,72
22,201,96,14,13,5,30,34,48,24,11,12,77,63,71,78
26,170,65,77,68,60,78,84,69,42,50,22,11,6,72,75
31,168,68,78,71,70,76,76,81,81,30,25,9,7,76,76
26,184,82,83,84,74,88,87,84,75,69,72,13,14,82,83
30,183,76,21,20,12,58,54,49,32,16,20,77,68,71,72
26,177,78,70,60,58,76,62,70,80,72,72,9,5,73,75
25,172,68,75,65,69,77,69,68,37,23,43,9,6,72,76
32,183,81,80,74,71,75,72,78,50,42,55,5,9,74,74
22,190,78,34,25,23,71,73,44,78,66,75,13,7,73,80
27,178,70,66,59,58,76,85,71,77,62,68,8,16,71,72
28,184,80,66,52,74,76,81,66,69,51,39,10,8,71,71
29,180,81,65,45,71,76,75,72,68,27,20,12,7,71,71
24,174,66,73,65,63,83,73,67,56,27,30,10,10,73,79
25,192,84,33,34,22,52,42,46,72,67,75,15,15,70,75
24,178,70,80,72,48,71,69,58,65,75,73,10,7,75,80
26,178,72,74,69,64,84,88,77,70,69,70,9,7,74,75
35,191,90,45,45,35,41,61,51,45,69,77,15,15,71,71
32,175,77,81,84,76,70,71,80,57,32,36,11,15,81,81
31,180,79,77,73,70,67,73,73,70,66,66,14,14,74,74
30,188,84,72,67,69,64,65,72,65,55,54,12,13,73,73
30,191,91,80,65,72,75,77,77,55,31,36,9,9,76,76
24,181,72,68,68,41,68,77,70,72,75,76,8,13,74,78
25,194,96,67,38,70,54,74,78,71,17,18,7,7,71,73
25,181,81,59,86,51,44,37,85,74,70,73,15,15,74,77
28,180,79,70,71,70,63,53,69,46,32,42,5,8,73,73
22,189,75,64,33,42,73,72,52,58,71,69,13,11,71,82
23,188,77,73,70,69,82,80,71,71,32,40,13,9,73,80
29,177,73,75,68,65,79,83,69,48,40,49,8,7,72,72
24,185,74,78,76,68,68,60,60,70,69,72,7,15,77,82
29,184,80,71,58,75,61,52,75,67,45,40,13,16,72,72
29,168,65,73,71,66,78,79,72,62,58,32,14,7,73,73
23,184,74,9,10,9,21,24,52,16,21,11,71,67,70,79
25,175,67,90,69,65,79,78,71,47,16,40,9,16,77,80
28,173,67,78,77,70,85,79,82,79,76,79,9,8,81,81
28,196,92,10,11,10,19,19,51,22,14,9,73,68,71,73
31,186,84,25,49,36,41,34,72,79,74,80,10,16,76,76
34,187,83,89,84,94,89,91,95,63,28,32,7,11,93,93
28,190,80,12,13,12,30,30,43,33,23,10,73,67,70,71
33,180,75,71,82,76,68,72,80,47,30,36,9,7,75,75
30,196,89,68,38,86,46,53,82,68,38,45,6,12,82,82
27,190,87,66,58,72,65,68,73,73,54,48,14,12,72,73
28,184,83,70,66,49,60,68,70,75,75,76,12,9,76,77
27,177,79,74,77,72,67,69,78,65,65,52,10,11,73,74
24,183,73,86,78,82,90,91,80,43,36,27,11,14,83,88
27,187,79,74,46,61,64,68,76,87,81,83,7,7,78,78
25,181,71,76,62,62,73,67,64,52,58,63,9,15,74,76
32,175,76,72,72,54,76,74,74,86,69,72,13,11,74,74
25,175,70,82,79,62,85,86,73,75,78,83,16,12,82,84
34,191,87,19,18,17,50,54,51,34,23,14,71,72,72,72
21,170,76,73,68,62,94,94,71,39,23,27,7,6,72,84
25,173,70,67,72,48,76,75,75,70,67,67,9,9,70,74
32,173,66,69,72,67,81,71,67,70,69,70,9,15,73,73
35,186,86,15,12,11,44,45,54,34,13,11,75,70,73,73
28,178,73,73,66,62,77,71,73,82,74,76,6,7,75,76
29,175,70,68,63,34,70,73,71,76,68,75,15,14,71,71
32,181,80,15,15,15,32,36,59,26,23,10,69,71,71,71
27,188,85,45,26,36,57,60,41,66,69,71,15,14,70,72
34,175,79,67,70,59,72,78,68,68,66,67,10,9,71,71
27,180,64,71,48,70,86,84,67,46,23,30,9,6,70,71
26,179,75,79,68,64,80,82,67,57,51,47,10,8,71,72
32,190,82,46,32,28,33,35,28,70,74,72,9,8,72,72
26,183,82,72,67,74,77,77,80,68,18,23,7,6,74,77
24,186,87,55,41,31,65,68,52,76,73,74,14,14,75,81
28,193,88,19,20,18,45,38,51,39,10,15,70,72,71,74
26,177,73,72,64,75,77,76,72,51,45,21,9,10,74,75
28,191,92,14,12,13,59,61,46,38,12,11,71,65,70,72
29,196,94,49,37,60,32,31,68,83,72,74,8,9,74,74
25,175,74,69,70,65,80,76,70,44,54,37,6,7,70,72
31,194,92,14,19,9,32,27,52,28,16,21,68,73,71,71
28,178,70,73,73,75,82,80,82,64,36,22,11,6,75,75
23,191,89,22,18,13,47,46,59,17,14,12,78,77,80,87
25,184,78,13,15,12,41,37,52,33,20,11,84,78,81,87
22,184,74,79,73,56,72,75,74,62,62,68,6,6,76,82
20,185,83,59,47,39,70,80,44,81,68,84,6,7,77,88
19,181,79,76,72,61,82,75,75,76,70,71,13,9,75,89
26,179,70,73,64,77,67,64,81,78,65,74,12,6,80,81
22,179,79,70,61,46,69,69,72,75,70,78,8,12,75,82
21,187,81,14,12,6,35,41,50,28,19,12,71,65,70,81
25,185,77,64,40,36,51,65,75,82,69,65,14,13,72,74
33,184,76,49,35,26,32,33,50,82,75,74,11,7,75,75
29,182,73,78,71,71,73,67,78,89,82,84,9,12,82,82
31,173,66,81,72,75,75,73,71,71,36,49,6,16,74,74
27,182,87,74,79,61,71,76,76,75,71,77,15,8,78,79
33,179,73,77,75,65,55,59,86,72,75,70,13,7,76,76
24,185,79,76,63,74,77,77,75,45,30,24,16,15,72,76
25,193,85,63,39,76,66,80,75,49,20,17,10,11,73,76
27,189,85,44,33,23,32,53,40,75,73,73,10,7,71,74
23,194,86,67,50,71,62,69,78,61,27,29,7,8,71,76
26,175,80,82,64,71,66,63,75,41,32,36,8,9,72,73
29,191,89,39,28,45,46,55,59,79,69,66,14,8,72,73
36,193,83,11,19,17,52,46,55,42,20,13,73,70,72,72
23,190,84,64,52,74,62,65,69,42,27,18,14,10,71,77
23,169,69,76,73,58,74,72,63,40,50,36,15,11,72,78
23,174,70,75,76,68,70,68,84,71,65,66,11,14,77,82
31,161,57,77,72,62,82,85,69,30,35,31,15,16,75,75
22,181,68,72,74,54,75,77,63,72,69,73,7,8,74,83
25,169,70,72,63,49,82,74,76,76,73,71,10,8,75,78
30,186,82,51,65,52,56,54,78,72,70,71,8,8,71,71
33,191,88,18,15,17,43,45,50,44,12,20,74,68,73,73
25,184,77,71,65,62,55,55,69,82,67,65,10,15,71,75
34,175,74,73,69,64,57,56,76,71,65,67,16,15,72,72
27,185,70,53,36,43,56,44,77,71,73,70,16,15,70,71
34,182,74,71,76,66,52,45,78,60,70,65,9,7,73,73
25,177,71,75,72,33,73,76,44,75,72,73,12,5,73,78
27,182,79,62,52,45,66,65,51,63,69,69,14,15,71,72
29,180,80,73,45,81,78,76,75,56,30,29,13,8,77,77
27,178,72,74,75,51,81,85,56,79,74,79,14,7,79,80
21,185,78,63,64,57,79,87,69,80,70,73,11,8,73,81
19,182,82,72,73,48,78,79,73,69,69,75,8,12,73,86
24,196,85,16,20,18,42,44,49,26,18,18,75,69,72,79
25,180,70,74,33,34,61,68,47,70,70,68,10,11,74,80
33,175,80,72,72,66,65,61,74,94,68,74,10,7,77,77
21,183,75,47,39,31,65,69,52,63,73,77,7,14,73,84
30,171,70,79,78,66,72,55,80,80,76,74,15,7,83,83
22,189,83,53,49,25,67,79,59,73,65,75,14,14,72,80
25,188,79,55,38,35,70,67,61,73,75,76,10,9,74,79
25,177,73,70,70,55,72,76,63,80,65,67,13,15,71,76
24,179,72,78,70,64,82,73,76,61,36,41,8,7,72,76
35,172,67,74,73,73,87,85,61,45,27,33,15,13,72,72
29,186,90,71,53,72,58,68,81,73,29,25,7,7,75,75
22,186,84,74,59,84,60,67,79,65,35,20,7,8,80,85
24,188,83,82,67,74,86,92,86,50,30,24,4,6,77,81
27,177,70,73,75,49,75,69,54,73,67,75,12,13,72,72
26,181,73,67,70,63,80,77,70,47,46,46,14,14,70,71
35,170,67,74,73,72,45,56,74,54,10,33,13,10,74,74
23,180,74,76,70,66,77,77,79,68,68,68,7,16,75,84
25,188,83,50,34,22,56,60,52,75,74,76,13,10,75,79
30,191,84,63,68,50,61,64,65,68,73,73,13,12,72,72
33,192,80,73,60,60,58,62,81,74,71,76,12,12,76,76
31,177,76,68,78,35,74,76,61,78,70,73,15,10,74,74
23,173,68,70,58,32,76,79,55,82,62,71,5,14,70,78
29,191,90,32,36,43,33,33,76,85,75,72,11,8,74,75
28,188,88,30,36,33,47,55,70,83,73,77,16,7,75,76
22,180,70,74,74,69,82,76,69,35,24,16,10,15,70,79
28,188,80,54,47,22,53,55,54,78,68,68,8,10,71,71
23,178,70,68,68,52,58,62,66,59,54,73,16,15,72,77
30,183,80,80,64,81,74,71,83,81,75,79,16,16,84,84
22,182,79,49,46,24,62,58,52,71,68,73,8,14,71,82
20,173,77,70,67,41,83,79,46,77,67,72,6,9,72,82
25,178,74,78,85,60,79,78,83,76,78,83,6,12,83,86
25,186,79,83,78,83,93,95,85,73,52,38,14,15,82,86
31,176,71,67,77,59,74,75,68,40,74,72,15,6,74,74
22,189,80,40,41,22,57,64,62,85,70,71,11,7,72,82
25,175,71,77,67,72,80,73,70,80,46,56,10,7,74,78
30,181,80,65,45,71,69,74,74,73,42,18,15,10,71,71
25,189,83,78,69,75,70,70,74,64,24,24,6,12,73,76
21,174,66,77,70,69,79,78,71,47,43,49,6,5,75,85
28,183,78,68,73,43,70,70,57,64,74,76,9,16,74,74
35,188,85,57,58,47,34,37,65,74,80,82,14,8,79,79
25,171,75,83,77,60,80,82,74,42,48,38,11,10,76,79
35,178,75,71,72,52,81,82,54,64,80,74,8,16,76,76
28,187,80,80,74,56,79,85,71,77,83,82,12,13,82,82
26,188,70,68,61,72,72,62,75,81,65,71,7,13,70,72
35,187,81,66,62,60,60,51,80,84,68,69,8,13,71,71
23,175,71,74,68,62,78,77,69,45,48,35,10,8,71,79
29,173,75,72,74,66,78,76,75,74,74,73,14,6,72,72
25,178,72,68,67,62,65,68,62,72,76,71,7,16,75,78
21,180,71,77,65,66,80,82,70,50,46,25,15,8,72,80
20,176,68,70,52,48,78,74,51,76,74,76,6,13,76,86
28,170,67,79,79,27,88,79,69,73,71,76,13,5,79,79
20,178,68,86,86,64,76,72,76,41,38,35,14,15,78,85
33,182,79,67,75,45,63,69,59,70,64,70,16,10,72,72
29,178,79,69,47,80,76,72,67,25,40,19,15,7,73,73
30,195,88,42,32,23,32,34,39,81,72,73,6,5,71,71
26,178,75,77,69,64,72,55,76,45,55,57,6,14,75,77
24,189,78,70,61,70,60,64,66,71,76,79,14,10,78,84
23,180,70,75,68,73,79,85,70,34,40,46,14,14,74,80
27,180,80,71,64,68,73,74,83,73,22,21,15,13,72,72
31,178,74,59,77,59,66,62,72,67,68,75,9,8,74,74
28,189,75,74,75,57,69,77,69,65,64,69,12,9,71,71
24,185,75,70,65,58,67,66,78,75,69,78,6,12,75,79
19,189,84,70,51,72,83,89,68,40,18,17,8,13,70,83
28,194,95,49,18,17,49,55,27,79,76,77,14,14,75,76
31,180,81,73,68,67,72,71,81,42,40,38,10,6,72,72
23,184,77,13,20,14,32,37,50,26,28,18,72,68,71,77
27,178,75,75,50,61,71,72,51,72,78,77,7,7,75,75
26,188,85,67,64,70,65,62,76,59,50,32,11,15,72,73
35,186,101,58,17,27,29,29,52,81,77,75,14,10,75,75
22,192,88,76,39,81,74,88,73,71,29,31,8,8,78,85
29,183,82,70,67,70,60,59,70,60,52,63,11,16,73,73
28,178,73,71,68,42,76,77,81,74,69,73,10,7,72,72
25,178,64,78,89,57,83,86,74,80,81,83,11,8,85,89
31,172,76,63,53,49,68,64,60,69,74,72,14,16,71,71
26,187,79,66,39,68,68,76,73,61,30,12,5,11,70,72
30,186,80,72,69,54,54,54,72,76,77,76,8,9,79,79
27,184,77,55,61,36,70,67,55,75,68,69,9,12,71,74
21,185,77,66,59,58,77,85,72,75,73,71,10,6,72,83
25,179,71,73,66,58,81,77,71,62,31,28,10,6,70,73
33,187,91,73,72,83,71,68,84,80,33,41,10,15,80,80
26,185,74,78,74,81,79,79,80,48,27,14,10,12,79,81
27,187,82,60,36,25,61,65,61,71,73,79,14,8,76,77
31,180,77,70,63,65,66,64,78,71,62,72,16,9,73,73
30,169,62,85,77,76,83,79,83,76,38,44,10,10,82,82
28,194,94,44,39,24,56,53,36,78,71,73,6,10,72,74
32,188,81,46,50,34,41,47,59,81,76,76,6,11,74,74
25,176,76,71,46,36,76,73,77,85,78,77,9,15,76,80
31,198,85,11,11,19,55,57,50,34,22,12,76,68,73,73
31,180,69,73,71,67,68,72,55,37,26,54,11,15,72,72
24,171,67,75,76,32,78,76,76,72,69,68,7,10,74,79
27,182,77,59,62,57,68,70,72,82,80,70,12,9,75,75
28,170,60,85,69,79,83,89,81,56,38,47,14,8,75,75
